"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"JP4";"PinHeader_1x04_P2.54mm_Horizontal";1;"Conn_01x04";;;
2;"C1,C15";"C_Elec_6.3x5.4";2;"100u/16v";;;
3;"SW5";"SW_CuK_JS202011AQN_DPDT_Angled";1;"ABBA";;;
4;"U2";"DIP-28_W15.24mm_Socket_LongPads";1;"W27E257";;;
5;"SW4";"SW_CuK_OS102011MA1QN1_SPDT_Angled";1;"ZX_SEL";;;
6;"R11,R12";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";2;"10K";;;
7;"J4";"DSUB-9_Male_Horizontal_P2.77x2.84mm_EdgePinOffset4.94mm_Housed_MountingHolesOffset7.48mm";1;"KEMPSTON";;;
8;"SW3";"SW_DIP_SPSTx03_Piano_10.8x9.18mm_W7.62mm_P2.54mm";1;"ROMSEL_JOY";;;
9;"JP7";"SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm";1;"RDSYSEL";;;
10;"JP6";"SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm";1;"WDSEL";;;
11;"R3,R4,R2,R1";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";4;"470R";;;
12;"IC9";"DIP-14_W7.62mm_Socket_LongPads";1;"74LS00";;;
13;"U11";"DIP-24_W7.62mm_Socket_LongPads";1;"GAL22V10";;;
14;"IC5";"DIP-14_W7.62mm_Socket_LongPads";1;"74LS06";;;
15;"IC6";"DIP-14_W7.62mm_Socket_LongPads";1;"74LS126";;;
16;"R5,R8,R7";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";3;"2K2";;;
17;"IC10";"DIP-14_W7.62mm_Socket_LongPads";1;"74LS27";;;
18;"HOLE2,HOLE1,HOLE3";"MountingHole_3.5mm_Pad_Via";3;"MountingHole_3.5mm_Pad_Via";;;
19;"SW2";"SW_PUSH_6mm";1;"NMI";;;
20;"SW1";"SW_PUSH_6mm";1;"RESET";;;
21;"U7";"DIP-20_W7.62mm_Socket_LongPads";1;"74LS374";;;
22;"U8";"DIP-16_W7.62mm_Socket_LongPads";1;"74LS175";;;
23;"U4";"DIP-24_W7.62mm_Socket_LongPads";1;"GAL20V8B";;;
24;"U3";"DIP-28_W15.24mm_Socket_LongPads";1;"6264";;;
25;"U1";"DIP-28_W15.24mm_Socket_LongPads";1;"WD1772";;;
26;"R10,R6";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";2;"680";;;
27;"R9";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"270";;;
28;"J1";"ZX_CONNECTOR_GENERIC_SORTED";1;"ZX_CONNECTOR_GENERIC_SORTED";;;
29;"J3";"PinHeader_2x13_P2.54mm_Vertical";1;"PARALLEL_CONNECTOR";;;
30;"C12,C10,C9,C8,C7,C6,C5,C4,C3,C2";"C_Disc_D5.0mm_W2.5mm_P5.00mm";10;"100n";;;
31;"C11";"C_Disc_D5.0mm_W2.5mm_P5.00mm";1;"100nF";;;
32;"C16";"C_Disc_D5.0mm_W2.5mm_P5.00mm";1;"33p";;;
33;"J2";"PinHeader_2x17_P2.54mm_Vertical";1;"FDD_CONNECTOR";;;
34;"D1";"LED_D5.0mm";1;"LD_ACT";;;
35;"D4,D3,D2";"D_DO-35_SOD27_P7.62mm_Horizontal";3;"1N4148";;;
36;"D5";"LED_D5.0mm";1;"LD_PWR";;;
37;"C13";"C_Disc_D5.0mm_W2.5mm_P5.00mm";1;"100p";;;
38;"C14";"C_Disc_D5.0mm_W2.5mm_P5.00mm";1;"100n";;;
39;"LOGO1";"OSHW-Logo_5.7x6mm_SilkScreen";1;"OSHW-Logo_5.7x6mm_SilkScreen";;;
40;"Y1";"Crystal_HC18-U_Vertical";1;"8.000Mhz";;;
